Bird,Feeder 1,Feeder 2,Feeder 3,Feeder 4,Feeder 5,Feeder 6,
Blue jay,14,42,8,190,131,161,
American Goldfinch,0,4,3,78,2,4,
Red-winged Blackbird,7,188,63,749,5,522,
Mourning Dove,0,0,9,3,0,235,
Black-capped chickadee,0,4,2,76,0,7,
Tufted Titmouse,1,19,9,147,5,48,
White-breasted Nuthatch,4,15,2,55,2,11,
Northern cardinal,0,5,5,5,0,25,
Downy Woodpecker,47,28,24,16,1,8,
Hairy Woodpecker,12,12,7,5,0,1,
House finch,0,0,3,11,0,8,
Common Grackle,4,3,3,27,1,17,
Red-bellied Woodpecker,13,15,1,107,0,3,
European Starling,0,0,0,0,0,3,
American Robin,0,0,0,1,0,0,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Bird,Feeder 1,Feeder 2,Feeder 3,Feeder 4,Feeder 5,Feeder 6,Total
Common Grackle,4,3,3,27,1,17,
Red-winged Blackbird,7,188,63,749,5,522,
Northern cardinal,0,5,5,5,0,25,
House finch,0,0,3,11,0,8,
American Goldfinch,0,4,3,78,2,4,
White-breasted Nuthatch,4,15,2,55,2,11,
